# category	status	implementation_evidence	test_evidence	note
agent-team-runtime	implemented	src/agents.rs;src/team.rs;src/tools/team.rs	src/agents.rs;src/team.rs;tests/agent_flow.rs	Bounded local agents, teams, mailboxes, progress, cancellation, and lifecycle replace source decomposition units.
async-lifecycle-runtime	implemented	src/query.rs;src/process.rs;src/control.rs	tests/query_loop.rs;tests/cli_interrupt.rs	Cancellation, queues, timeouts, shutdown, and concurrent-turn state are explicit and bounded.
command-input-runtime	implemented	src/command_palette.rs;src/commands.rs;src/prompt.rs;src/interactions.rs	src/command_palette.rs;tests/terminal_pty.rs	Slash discovery, argument completion, prompt submission, and interactive command state use one provider-neutral path.
config-environment-runtime	implemented	src/config.rs;src/ui_settings.rs	src/config.rs;src/ui_settings.rs;tests/privacy_boundary.rs	Trusted user configuration is typed while project settings remain deny-only and cannot inject environment authority.
context-compact-runtime	implemented	src/context.rs;src/compact.rs;src/tokens.rs	src/context.rs;tests/compact_flow.rs	Instruction discovery, token bounds, and transactional compaction preserve the generic context lifecycle.
context-inspection-runtime	implemented	src/context_inspection.rs;src/query.rs;src/main.rs	src/context_inspection.rs;tests/cli_output.rs;tests/terminal_pty.rs	Exact estimated tokens are partitioned across instructions, tools, messages, results, media, and thinking; terminal and control views expose capacity, memory status, top tools, and bounded actionable warnings.
extension-runtime	implemented	src/hooks.rs;src/plugins.rs;src/plugin_manager.rs;src/skills.rs	src/hooks.rs;tests/plugin_lifecycle.rs;tests/tool_parity.rs	Hooks, plugins, skills, output styles, and custom commands share trusted bounded extension boundaries.
filesystem-runtime	implemented	src/context.rs;src/tools/read.rs;src/tools/edit.rs;src/tools/write.rs;src/tools/glob.rs;src/tools/grep.rs	tests/tool_parity.rs;tests/tool_call_validation.rs	Workspace-confined discovery, reads, freshness checks, atomic writes, glob, and grep cover filesystem helpers.
git-worktree-runtime	implemented	src/worktree.rs;src/file_history.rs	src/worktree.rs;src/file_history.rs;tests/cli_output.rs	Repository discovery, checkpoints, diffs, rewind, and owned worktree lifecycle are explicit and fail closed.
input-history-runtime	implemented	src/input_history.rs;src/terminal.rs	src/input_history.rs;tests/terminal_pty.rs	Private bounded cross-session prompt history supports cycling, scoped reverse search, preview, accept, and execute.
local-export-runtime	equivalent	src/session.rs;src/clipboard.rs;src/markdown.rs	src/session.rs;src/clipboard.rs;tests/fullscreen_pty.rs	Plain transcript export and bounded clipboard rendering preserve the user-facing export purpose without proprietary image or recording formats.
local-observability-runtime	equivalent	src/config.rs;src/main.rs;src/statusline.rs	src/config.rs;tests/cli_output.rs	Local debug, doctor, status, and status-line diagnostics replace telemetry-backed or runtime-specific observability helpers.
mcp-lsp-runtime	implemented	src/mcp.rs;src/mcp_oauth.rs;src/mcp_websocket.rs;src/lsp.rs	src/mcp.rs;src/mcp_oauth.rs;src/lsp.rs	Configured MCP and LSP transports, discovery, authorization, synchronization, and bounds are implemented natively.
media-document-runtime	implemented	src/image_processing.rs;src/clipboard.rs;src/tools/read.rs;src/tools/notebook.rs	src/image_processing.rs;tests/tool_parity.rs;tests/fullscreen_pty.rs	Images, clipboard paste, PDF extraction, and notebook edits are normalized and bounded before model use.
memory-runtime	implemented	src/auto_memory.rs;src/tools/memory.rs	src/auto_memory.rs;tests/cli_output.rs	Opt-in private workspace memory supports extraction, indexing, recall, consolidation, and stale-state rejection.
model-protocol-runtime	implemented	src/api.rs;src/protocol.rs;src/messages.rs;src/query.rs	tests/protocol_compat.rs;tests/protocol_fail_closed.rs;tests/query_loop.rs	Provider-neutral Messages, Chat Completions, and Responses adapters share strict streaming and message invariants.
network-trust-runtime	implemented	src/network_trust.rs;src/api.rs;src/web_tools.rs;src/mcp_websocket.rs;src/monitor.rs	src/network_trust.rs;tests/cli_output.rs	Explicit absolute-path CA and mTLS PEM files are bounded, no-follow validated, parsed before networking, scrubbed from child environments, and applied to HTTP and WebSocket clients.
permission-sandbox-runtime	implemented	src/permissions.rs;src/sandbox.rs;src/sandbox_proxy.rs;src/plan.rs	src/permissions.rs;src/sandbox.rs;tests/privacy_boundary.rs	Permission-before-execution, explicit elevation, path confinement, and network sandboxing preserve authority boundaries.
process-shell-runtime	implemented	src/process.rs;src/tools/bash.rs;src/sandbox.rs	src/process.rs;src/tools/bash.rs;tests/tool_parity.rs	Cross-platform process groups or job objects, bounded output, shell parsing, and sandbox dispatch replace process helpers.
security-storage-runtime	equivalent	src/config.rs;src/session.rs;src/input_history.rs;src/plugin_manager.rs	tests/credential_isolation.rs;tests/privacy_boundary.rs	Private modes, no-follow validation, atomic replacement, hashes, and authenticated local state replace generic storage helpers.
session-runtime	implemented	src/session.rs;src/main.rs;src/fullscreen.rs	src/session.rs;tests/cli_output.rs;tests/fullscreen_pty.rs	Private sessions support clear, resume, branch, tag, title, preview, transcript, and bounded recovery.
shell-completion-runtime	implemented	src/shell_completion.rs;src/cli.rs;src/main.rs	src/shell_completion.rs;src/cli.rs;tests/cli_output.rs	Bash, zsh, and fish scripts are generated from the live Clap command; stdout is default and explicit file output is private, create-only, and symlink-safe.
status-notification-runtime	implemented	src/statusline.rs;src/terminal_notifications.rs;src/terminal.rs	src/statusline.rs;src/terminal_notifications.rs;tests/terminal_pty.rs	Sanitized status, notices, idle completion notifications, and progress rendering are local and configurable.
task-schedule-runtime	implemented	src/cron.rs;src/monitor.rs;src/workflow.rs;src/tools/tasks.rs;src/tools/work_items.rs	src/cron.rs;src/workflow.rs;tests/tool_parity.rs	Persistent work items, background tasks, workflows, cron, wakeups, and task UI have bounded lifecycle state.
terminal-runtime	implemented	src/terminal.rs;src/fullscreen.rs;src/markdown.rs;src/vim.rs;src/keybindings.rs	tests/terminal_pty.rs;tests/fullscreen_pty.rs;tests/vim_interactions_pty.rs;tests/keybindings_pty.rs	Original Rust inline/fullscreen rendering, selection, markdown, Vim, keybindings, resize, and modal coordination cover terminal primitives.
tool-runtime	implemented	src/tools/mod.rs;src/tools/schema.rs;src/structured_output.rs	src/tools/mod.rs;tests/tool_parity.rs;tests/tool_call_validation.rs	Strict schemas, deferred discovery, ordered tool results, bounded persistence, and exactly-once structured output cover tool helpers.
workspace-search-runtime	implemented	src/workspace_search.rs;src/terminal.rs;src/keybindings.rs;src/main.rs	src/workspace_search.rs;src/keybindings.rs;tests/terminal_pty.rs	Quick Open and cancellable Global Search provide bounded fuzzy/file-text results, responsive previews, source-style open/mention/path actions, PTY fallbacks, read-deny enforcement, and no-follow workspace confinement.
collection-helper-equivalent	equivalent	src/types.rs;src/query.rs;src/tools/mod.rs	src/types.rs;src/query.rs	Small collection, memoization, grouping, and resolver utilities are consolidated into typed Rust ownership and standard collections.
structured-helper-equivalent	equivalent	src/protocol.rs;src/tools/schema.rs;src/config.rs	src/protocol.rs;src/tools/schema.rs	JSON, YAML-adjacent configuration, schema conversion, IDs, and semantic parsing are consolidated into serde and strict validators.
text-format-helper-equivalent	equivalent	src/markdown.rs;src/terminal.rs;src/command_palette.rs	src/markdown.rs;src/terminal.rs	Width-aware truncation, highlighting, formatting, words, and ANSI slicing are consolidated in the terminal and markdown layers.
platform-helper-equivalent	equivalent	src/process.rs;src/terminal.rs;src/config.rs;src/worktree.rs	src/process.rs;tests/terminal_pty.rs	OS paths, executable discovery, terminal setup, XDG directories, and platform branching are implemented through Rust platform APIs.
component-app-shell-equivalent	equivalent	src/main.rs;src/terminal.rs;src/fullscreen.rs	tests/terminal_pty.rs;tests/fullscreen_pty.rs	The stateful Rust terminal coordinator replaces React application-shell composition.
component-dialog-equivalent	equivalent	src/terminal_dialogs.rs;src/terminal.rs	src/terminal_dialogs.rs;tests/terminal_dialogs.rs;tests/terminal_dialogs_pty.rs	Typed terminal dialogs, fuzzy selectors, confirmation, tabs, and modal suspension replace reusable dialog components.
component-message-equivalent	equivalent	src/terminal.rs;src/fullscreen.rs;src/markdown.rs;src/messages.rs	src/fullscreen.rs;tests/fullscreen_pty.rs	Streaming messages, tool summaries, transcript expansion, markdown, compaction markers, and selection share one bounded renderer.
component-error-equivalent	equivalent	src/terminal.rs;src/terminal_dialogs.rs;src/tools/mod.rs	tests/terminal_dialogs.rs;tests/tool_call_validation.rs	Typed rejection, validation, interruption, and fallback messages are rendered at their Rust error boundary.
component-file-diff-equivalent	equivalent	src/file_history.rs;src/terminal.rs;src/main.rs	src/file_history.rs;tests/cli_output.rs	Checkpoint summaries and structured permission previews replace source diff component decomposition.
component-task-team-equivalent	equivalent	src/terminal_dialogs.rs;src/agents.rs;src/team.rs;src/tools/work_items.rs	tests/terminal_dialogs.rs;tests/agent_flow.rs	Agent progress, task lists, workflow selection, teammate state, and background controls share one task dialog model.
component-settings-equivalent	equivalent	src/ui_settings.rs;src/terminal_dialogs.rs;src/main.rs	src/ui_settings.rs;tests/terminal_dialogs.rs	Model, theme, output style, settings, trust, and keybinding views use typed Rust selectors and validation.
component-design-system-equivalent	equivalent	src/terminal_dialogs.rs;src/terminal.rs;src/markdown.rs	src/terminal_dialogs.rs;tests/terminal_dialogs.rs	Reusable rows, boxes, dividers, loading states, selectors, and shortcuts are represented by compact terminal frame primitives.
hook-lifecycle-equivalent	equivalent	src/main.rs;src/query.rs;src/control.rs;src/monitor.rs	tests/query_loop.rs;tests/cli_interrupt.rs	Effect cleanup, timers, polling, cancellation, and first-render behavior are explicit Rust state-machine transitions.
hook-input-equivalent	equivalent	src/terminal.rs;src/input_history.rs;src/keybindings.rs;src/vim.rs	tests/terminal_pty.rs;tests/keybindings_pty.rs;tests/vim_interactions_pty.rs	Input, paste, history, search, typeahead, keybinding, selection, and Vim hooks are integrated into the editor state machine.
hook-state-equivalent	equivalent	src/config.rs;src/plugins.rs;src/skills.rs;src/mcp.rs;src/tools/mod.rs	tests/plugin_lifecycle.rs;tests/tool_parity.rs	Merged catalogs and watched settings, skills, tools, MCP clients, and task state use generation-checked Rust snapshots.
hosted-forge-excluded	excluded	-	-	Hosted pull-request, issue, repository mapping, and forge-account polling are vendor-specific and outside a provider-neutral local harness.
vendor-account-excluded	excluded	-	-	Subscription, OAuth account, API-key onboarding, quota, billing, and entitlement surfaces are outside scope.
vendor-brand-excluded	excluded	-	-	Branded hints, attribution, onboarding, bundled modes, product copy, and identity assets are not migrated.
vendor-desktop-browser-excluded	excluded	-	-	Desktop handoff, browser-extension bridges, custom URL schemes, and desktop import paths exceed the local harness boundary.
vendor-ide-excluded	excluded	-	-	Vendor IDE RPC, auto-connect, selection, and marketplace integration are excluded; generic LSP remains implemented separately.
vendor-hosted-remote-excluded	excluded	-	-	Hosted remote sessions, ingress, SSH relay, teleport, bridge, and account-backed history are outside local scope.
vendor-telemetry-excluded	excluded	-	-	Analytics, experiments, fingerprints, event sinks, privacy controls, and first-party workload tags are intentionally absent.
vendor-updater-excluded	excluded	-	-	Vendor distribution channels, installers, package-manager mutation, release feed, and self-update UI are outside runtime scope.
vendor-managed-policy-excluded	excluded	-	-	Hosted organization policy, managed environment injection, and model classifiers cannot elevate local authority.
vendor-model-routing-excluded	excluded	-	-	Provider-specific betas, entitled fast modes, advisor routing, and branded model policy are not harness primitives.
hosted-marketplace-excluded	excluded	-	-	Official marketplace recommendations and hosted plugin promotion are excluded; explicit trusted local plugins remain implemented.
voice-excluded	excluded	-	-	Microphone capture, speech services, keyterms, and voice interaction are outside scope.
computer-use-excluded	excluded	-	-	Desktop capture and input injection exceed the coding-harness authority boundary.
internal-diagnostics-excluded	excluded	-	-	Employee-only recording, heap, profiler, fault injection, and runtime performance instrumentation are not product behavior.
experimental-proactive-excluded	excluded	-	-	Build-gated proactive delivery, away cards, and hosted idle-return experiments are not active generic CLI behavior.
experimental-advisor-excluded	excluded	-	-	First-party experiment routing an entire conversation to a second proprietary reviewer model is outside scope.
feedback-excluded	excluded	-	-	Vendor feedback upload and survey collection require telemetry and hosted identity channels.
decorative-assets-excluded	excluded	-	-	Brand logos, stickers, icons, and purely decorative product assets are not copied.
cloud-provider-auth-excluded	excluded	-	-	Provider-specific cloud credential status and SDK authentication are outside the configurable HTTP protocol core.
